"auto_increment";"record_id";"created_at";"auto_increment_2";"rede_imobiliaria_name"
"1";"DVWQWRNZ49";"2019-04-26 15:26:14";"";"Apolar"
"2";"4MXQJdrZ6v";"2019-04-26 15:26:19";"";"Bee"
"3";"5m9N0njzqk";"2019-04-26 15:26:22";"";"Nexus"
"4";"4PzQ4GNJGV";"2019-04-26 15:26:31";"";"Rede Imoveis"
"7";"lGArg7rmR6";"2020-01-15 14:36:43";"";"Outros"
"10";"698rd2QZwd";"2020-01-15 14:37:33";"";"Vitrine"
"11";"q3kjZVj6Vb";"2022-05-13 11:22:26";"";"Experato"
"12";"JDXQ80QYRl";"2022-12-14 13:45:42";"";"Remax"
"13";"VX9QoerwYv";"2023-05-02 10:03:52";"";"Lopes"
